Word,Plays,AvgScorePerPlay,AvgScorePerGame,WinRate
QI,25186057,34.06,17.25336245,0.4788
RE,17779860,40.17,14.36678505,0.4821
ZE,11697214,49.24,11.58407402,0.5226
ER,14063236,40.51,11.45970876,0.4848
IN,14557768,35.80,10.48151923,0.4710
IT,13670424,35.86,9.86126752,0.4706
ET,12461973,38.98,9.77091674,0.4819
EN,12281150,38.76,9.57542299,0.4808
TE,12021839,39.43,9.53353500,0.4816
NE,11982103,38.90,9.37495180,0.4790
ID,12653006,36.31,9.24060269,0.4765
AR,11384070,39.08,8.94765593,0.4821
ED,11193235,39.52,8.89808724,0.4866
OR,11572387,36.90,8.58791325,0.4793
EL,11083678,38.08,8.49041547,0.4822
EX,9566845,43.87,8.44247532,0.5082
WE,11405414,36.67,8.41330024,0.4810
ZA,8731366,47.28,8.30371651,0.5213
DE,10315755,39.88,8.27511718,0.4860
JA,10280351,39.39,8.14476309,0.4967
XI,9440050,41.84,7.94408639,0.5078
EW,10665130,36.46,7.82065240,0.4832
TI,10616808,35.73,7.63096997,0.4706
AT,9884045,38.29,7.61286744,0.4820
IF,10914054,34.08,7.48209133,0.4803
FE,9892455,37.34,7.42877087,0.4849
EF,9844530,37.10,7.34719187,0.4884
ZO,7968804,45.70,7.32494705,0.5162
JO,9696766,37.54,7.32167185,0.4948
DI,9747626,36.72,7.20015491,0.4775
ON,9838615,35.89,7.10328163,0.4776
AD,9105921,38.61,7.07209173,0.4851
AN,9173953,37.77,6.96957100,0.4800
EE,9413019,35.92,6.80049259,0.4752
AG,9524923,35.34,6.77113250,0.4773
LI,9691682,34.38,6.70248030,0.4698
TA,8787007,37.87,6.69374730,0.4788
AX,7614247,42.80,6.55486893,0.5074
GI,9861886,32.75,6.49701956,0.4687
AL,8710296,36.95,6.47361377,0.4817
NA,8428144,37.09,6.28686388,0.4776
OD,8530916,36.51,6.26387333,0.4811
OX,7431347,41.44,6.19487765,0.5044
BE,8177622,37.64,6.19179802,0.4838
DA,7962632,38.58,6.17867560,0.4853
TO,8654708,35.11,6.11150860,0.4763
PE,7750624,38.82,6.05118890,0.4820
NO,8510781,34.75,5.94861003,0.4747
AW,8491937,34.63,5.91478316,0.4761
UR,8582917,33.68,5.81468551,0.4700
LA,7813256,36.49,5.73501811,0.4791
EA,7719746,36.67,5.69328297,0.4797
AE,7381031,36.65,5.44048620,0.4800
UN,7772257,34.01,5.31754639,0.4719
UT,7880403,33.53,5.31479908,0.4697
DO,7264645,36.34,5.31024907,0.4813
OE,7876508,33.31,5.27674960,0.4743
LO,7696162,34.06,5.27170743,0.4761
FA,7444302,34.94,5.23173265,0.4795
ES,5539062,45.77,5.09883352,0.4989
OW,7608807,33.27,5.09232887,0.4774
HE,6558141,38.52,5.08065541,0.4863
IO,8283856,30.16,5.02600963,0.4668
YE,6847943,36.42,5.01630231,0.4799
WO,7521462,33.14,5.01360089,0.4781
EM,6373625,38.80,4.97405749,0.4843
BI,7328047,33.29,4.90749134,0.4714
NY,6610454,36.68,4.87703128,0.4882
GO,7465809,32.42,4.86892907,0.4724
QIN,7619502,31.69,4.85619837,0.4686
IS,5618769,42.97,4.85592947,0.4886
EH,6305559,37.86,4.80111841,0.4879
ME,6076934,39.20,4.79180046,0.4833
PI,6884261,34.60,4.79156402,0.4715
AB,6728137,35.40,4.79063215,0.4813
OF,7120166,33.19,4.75396437,0.4810
